City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
Ponta do Sol,40,PT,1587116394,68,32.67,-17.1,64.4,4.7
Mpophomeni,0,ZA,1587116394,67,-29.57,30.19,75.0,1.01
Shubarkuduk,5,KZ,1587116394,40,49.14,56.49,54.39,21.63
Juegang,100,CN,1587116394,61,32.32,121.19,69.01,5.55
Noumea,30,NC,1587116292,73,-22.28,166.46,75.2,4.7
Jamestown,1,US,1587116285,79,42.1,-79.24,37.4,3.36
Liverpool,20,GB,1587116125,66,53.41,-2.98,57.0,12.75
Lavrentiya,100,RU,1587116395,96,65.58,-171.0,33.69,6.29
Nabire,100,ID,1587116110,79,-3.37,135.48,81.28,1.88
Macapá,75,BR,1587116145,100,0.04,-51.07,77.0,2.24
Shebunino,0,RU,1587116396,83,46.43,141.86,39.54,7.99
Lábrea,83,BR,1587116396,96,-7.26,-64.8,71.38,3.11
Cape Town,20,ZA,1587116369,52,-33.93,18.42,68.0,3.36
Isangel,75,VU,1587116397,88,-19.55,169.27,75.2,13.06
Robertsport,27,LR,1587116397,77,6.75,-11.37,82.51,6.93
Chapais,90,CA,1587116398,66,49.78,-74.85,14.0,5.82
Avarua,100,CK,1587116330,94,-21.21,-159.78,71.6,2.24
Altoona,1,US,1587116398,63,40.52,-78.39,30.2,3.27
Manuk Mangkaw,40,PH,1587116399,70,4.8,119.85,84.83,6.35
Dwārka,0,IN,1587116200,70,22.24,68.97,81.79,13.82
Swan Hill,0,AU,1587116165,52,-35.34,143.55,61.63,8.19
Chapayevka,64,UA,1587116399,52,47.47,36.35,61.27,14.97
Resistencia,0,AR,1587116400,100,-27.46,-58.98,55.0,2.24
Kruisfontein,25,ZA,1587116400,43,-34.0,24.73,68.79,4.23
San Quintín,0,MX,1587116400,77,30.48,-115.95,58.84,2.21
Olafsvik,100,IS,1587116401,95,64.89,-23.71,43.52,21.0
Nouadhibou,89,MR,1587116401,83,20.93,-17.03,65.48,16.78
Andapa,100,MG,1587116401,58,-14.65,49.65,79.12,4.83
Clyde River,90,CA,1587116402,84,70.47,-68.59,5.0,13.87
Matara,13,LK,1587116402,61,5.95,80.54,88.68,8.23
Merauke,24,ID,1587116402,83,-8.47,140.33,80.04,5.7
Chui,27,UY,1587116403,90,-33.7,-53.46,60.64,4.76
Bonavista,0,CA,1587116403,69,48.65,-53.11,28.0,14.0
Bac Lieu,61,VN,1587116403,64,9.29,105.72,87.01,13.18
Khandyga,93,RU,1587116404,86,62.67,135.6,9.3,5.59
Red Bluff,1,US,1587116404,41,40.18,-122.24,59.0,6.93
Eidsvåg,75,NO,1587116404,52,62.78,8.07,42.8,19.46
Bethel,1,US,1587116405,68,41.37,-73.41,37.0,6.93
Vostok,28,RU,1587116405,39,46.49,135.88,47.16,3.96
Muisne,66,EC,1587116405,86,0.6,-80.03,76.71,2.93
Mossamedes,0,AO,1587116405,60,-15.2,12.15,76.95,6.33
Ariquemes,99,BR,1587116406,93,-9.91,-63.04,68.47,3.78
Cabo San Lucas,17,MX,1587116246,65,22.89,-109.91,69.01,8.46
Tuatapere,99,NZ,1587116406,91,-46.13,167.68,48.99,1.99
Saint Paul Harbor,1,US,1587116406,93,57.79,-152.41,39.2,3.22
Hithadhoo,100,MV,1587116407,68,-0.6,73.08,83.88,2.82
Vila do Maio,75,CV,1587116407,64,15.13,-23.22,73.4,19.46
Mitsamiouli,54,KM,1587116407,73,-11.38,43.28,83.61,9.06
Tahoua,0,NE,1587116408,5,14.89,5.27,98.6,9.17
Esperance,83,AU,1587116194,63,-33.87,121.9,66.2,16.11
La Ronge,75,CA,1587116408,95,55.1,-105.28,32.0,6.93
Sinnamary,92,GF,1587116409,84,5.38,-52.95,78.82,9.6
Camacha,20,PT,1587116409,68,33.08,-16.33,64.4,11.41
Manicoré,40,BR,1587116170,100,-5.81,-61.3,73.4,2.24
Luoyang,0,CN,1587116410,99,34.68,112.45,78.01,2.06
Russell,1,US,1587116410,100,32.35,-85.2,53.6,4.79
Richards Bay,0,ZA,1587116411,62,-28.78,32.04,75.42,0.56
Portland,1,US,1587116411,43,45.52,-122.68,51.8,3.36
Nahavand,16,IR,1587116411,17,34.19,48.38,61.29,4.43
Khatanga,0,RU,1587116411,92,71.97,102.5,15.6,15.73
Arman',100,RU,1587116412,96,59.7,150.17,25.09,8.72
Luján,0,AR,1587116404,93,-34.57,-59.1,62.6,4.63
Barrow,90,US,1587116412,84,71.29,-156.79,8.6,12.75
Dikson,1,RU,1587116412,92,73.51,80.55,9.01,12.03
Beloha,0,MG,1587116413,34,-25.17,45.05,90.86,3.27
Pandan,15,PH,1587116413,80,14.05,124.17,82.15,14.36
Pevek,86,RU,1587116413,96,69.7,170.31,8.1,5.48
Luwuk,98,ID,1587116414,71,-0.95,122.79,86.0,6.58
Marathon,1,US,1587116414,58,44.9,-89.77,32.0,5.82
Lubango,1,AO,1587116414,36,-14.92,13.49,73.36,5.1
Porto Nacional,40,BR,1587116414,88,-10.71,-48.42,75.2,2.24
Ucluelet,0,CA,1587116415,92,48.93,-125.55,45.0,3.33
Andenes,75,NO,1587116415,74,69.31,16.12,37.99,23.04
Kadyy,45,RU,1587116415,63,57.79,43.19,42.64,9.15
Kaili,57,ID,1587116416,68,-3.46,120.21,77.25,5.3
Nizhniy Kuranakh,100,RU,1587116416,82,58.84,125.49,20.8,10.09
Fort Nelson,90,CA,1587116416,57,58.81,-122.7,50.0,6.93
Enshi,100,CN,1587116416,56,30.3,109.48,66.61,1.43
Sabha,4,LY,1587116417,19,27.04,14.43,86.14,12.1
